Marque,Modèle,Année,Prix,Moteur,Fuel,Mileage
AUDI,S4 V,2017,47 940 €,3.0 TFSI 354 S4,Essence,33 572  km
Marque,Modèle,Année,Prix,Moteur,Fuel,Mileage
AUDI,S7 SPORTBACK,2013,35 290 €,4.0 TFSI 420 S7,Essence,175 852  km
AUDI,R8 SPYDER,2011,85 300 €,5.2 V10 525,Essence,66 714  km
AUDI,SQ7 phase 2,2019,97 780 €,4.0 TDI 435,Diesel,60 270  km
AUDI,S5 II,2018,52 010 €,3.0 TFSI 354 S5,Essence,70 912  km
AUDI,RS7,2016,68 740 €,4.0 TFSI 560 RS7,Essence,131 657  km
AUDI,RS3 II SPORTBACK phase 2,2019,57 970 €,2.5 TFSI 400 RS3,Essence,62 868  km
AUDI,R8,2012,80 940 €,5.2 V10 525,Essence,112 349  km
AUDI,SQ5 II,2019,55 510 €,3.0 V6 354 SQ5,Essence,122 901  km
AUDI,SQ8,2020,125 340 €,4.0 TDI 435,Diesel,61 040  km
AUDI,RS6 III AVANT phase 2,2015,68 140 €,4.0 TFSI 560 RS6,Essence,76 545  km
AUDI,RS3 II SPORTBACK phase 2,2019,67 080 €,2.5 TFSI 400 RS3,Essence,79 560  km
AUDI,TT III RS,2018,74 980 €,2.5 TFSI 400 RS,Essence,62 063  km
AUDI,RS3 II SPORTBACK,2017,45 460 €ou dès610 € /mois,2.5 TFSI 367 RS,Essence,78 645  km
AUDI,SQ5 (2E GENERATION),2019,49 480 €,3.0 V6 TFSI 354 CV QUATTRO TOIT PANO BANG&OLUFSEN PACK BLACK A PAYER,Essence,133 089  km
AUDI,RS3 II SPORTBACK phase 2,2019,61 940 €,2.5 TFSI 400 RS3,Essence,76 545  km
AUDI,RS3 II SPORTBACK,2016,50 840 €,2.5 TFSI 367 RS,Essence,43 166  km
Marque,Modèle,Année,Prix,Moteur,Fuel,Mileage
AUDI,RS Q8,2020,203 880 €,4.0 TFSI 600 RS Q8,Essence,35 880  km
AUDI,SQ7 II,2019,84 610 €,4.0 TDI 435 SQ7,Diesel,56 500  km
AUDI,RS3 II SPORTBACK phase 2,2019,64 940 €ou dès850 € /mois,2.5 TFSI 400 RS3,Essence,82 004  km
AUDI,RS5 II SPORTBACK,2020,92 230 €,2.9 TFSI 450 RS5,Essence,88 560  km
AUDI,RS3 II SPORTBACK phase 2,2019,60 250 €ou dès790 € /mois,2.5 TFSI 400 RS3,Essence,77 367  km
AUDI,RS3 II SPORTBACK,2016,52 970 €,2.5 TFSI 367 RS,Essence,105 610  km
AUDI,SQ5 (2E GENERATION),2019,48 130 €,3.0 V6 TFSI 354 CV QUATTRO TOIT PANO BANG&OLUFSEN PACK BLACK A PAYER,Essence,129 459  km
AUDI,SQ7 II,2018,76 240 €,4.0 TDI 435 SQ7,Diesel,121 733  km
AUDI,RS3 II SPORTBACK phase 2,2018,58 300 €ou dès760 € /mois,2.5 TFSI 400 RS3,Essence,79 943  km
AUDI,E-TRON,2020,64 770 €,95kWh 408 AVUS,Électrique,33 857  km
AUDI,RS3 II SPORTBACK phase 2,2020,67 180 €ou dès880 € /mois,2.5 TFSI 400 RS3,Essence,69 440  km
AUDI,RS3 II SPORTBACK phase 2,2019,66 940 €,2.5 TFSI 400 RS3,Essence,86 552  km
AUDI,SQ5 (2E GENERATION),2019,62 480 €,3.0 V6 TFSI 354 CV QUATTRO TOIT PANO BANG&OLUFSEN PACK BLACK,Essence,151 238  km
AUDI,RS4 V AVANT,2020,94 490 €,2.9 V6 450 RS4,Essence,62 484  km
AUDI,RS4 V AVANT,2020,79 540 €,2.9 V6 450 RS4,Essence,95 135  km
AUDI,RS5 II,2019,68 980 €,2.9 TFSI 450 RS5,Essence,119 485  km
